,id_url,Valor Real,Predicción
1308,629486854095921812,4.92,4.9341
1438,845933502473231934,4.88,4.9346
1223,13733593,4.9,4.879299999999998
736,52336515,4.99,4.9732
1501,50086942,4.75,4.7676
1783,991623785531977440,4.92,4.930400000000001
884,52125786,4.79,4.769600000000001
1315,1069593771189988922,4.9,4.931000000000001
739,43858970,4.99,4.967200000000002
357,4013309,4.96,4.954400000000003
393,809364234808124672,4.75,4.761400000000002
1449,52655676,4.73,4.7486999999999995
1825,42790726,4.96,4.928000000000003
874,1111487545337940259,4.96,4.9286
773,36116005,4.8,4.7907
1335,32813435,4.76,4.783400000000004
1144,52248713,4.87,4.928200000000001
578,9217030,4.97,4.935300000000005
976,917436466621451250,4.68,4.729800000000003
1187,878248077330414785,4.98,4.947500000000004
409,28868762,4.98,4.951800000000003
70,6678058,4.93,4.9429000000000025
1454,22829801,4.9,4.735300000000001
1838,2115503,4.86,4.965400000000005
1235,1108190346245069544,4.97,4.931000000000002
28,1200785178063453834,5.0,4.9738
134,15053620,4.85,4.7719
534,29509800,4.78,4.7373
1701,43011923,4.95,4.874799999999996
660,865165373047191747,4.97,4.94
1437,1110372317688044846,4.98,4.926100000000001
1848,21425660,4.91,4.948900000000002
355,598668124563532697,4.96,4.9406
1228,544219347103053346,4.94,4.933200000000002
1052,13633735,4.92,4.930000000000003
1441,28909212,4.95,4.930699999999999
673,704161034007614517,4.91,4.9353
1361,52199093,4.73,4.8011
1581,1165307526286303418,4.97,4.917600000000002
1063,1144932752249938868,5.0,4.952300000000003
1661,603634658885100425,4.98,4.937800000000001
489,669025316045840427,4.92,4.9203
249,20933318,4.96,4.9593000000000025
551,1121053426626307188,5.0,4.9631000000000025
168,52188178,4.87,4.9314
1566,22666059,4.79,4.797399999999999
95,1421774,4.87,4.923200000000001
1745,1225516471400863991,5.0,4.9941
446,853008970994744387,4.97,4.948199999999999
1631,849895199281375026,4.89,4.929400000000001
1030,36519291,4.98,4.966800000000003
1095,630176108437535179,4.78,4.7688999999999995
139,14505006,4.94,4.952600000000001
1591,52474672,4.89,4.909200000000001
1665,1035779877406739489,5.0,4.933599999999999
1167,52742673,4.99,4.928900000000002
1812,990973537420441726,4.98,4.953200000000004
1305,844937676892217546,4.88,4.917600000000002
1142,49714479,4.9,4.927600000000001
1415,707903214731420461,4.84,4.967800000000003
862,42695616,5.0,4.9635
224,943546735381736371,4.97,4.935900000000003
442,52201078,4.95,4.924100000000001
809,853838068375939256,4.99,4.963400000000001
185,1166990641479729210,5.0,4.971599999999999
1267,53741021,4.93,4.961899999999999
1422,835644139077998382,4.9,4.933200000000004
597,972065619251018060,4.99,4.971300000000003
1262,1510363,4.96,4.966500000000002
1360,53236629,4.82,4.7752
1470,907301096392557965,4.71,4.772599999999998
1265,563327154653568375,4.87,4.936300000000004
1453,4156913,4.98,4.934700000000001
1096,2693700,4.93,4.939700000000005
1698,898737566408971552,4.95,4.9285000000000005
1847,52077006,4.86,4.934499999999999
1238,753475720318471187,4.94,4.952500000000002
618,348714,4.83,4.951800000000001
1390,724650026938156385,4.7,4.809400000000002
691,31416436,4.9,4.9469
332,1190354285219997638,4.65,4.741899999999999
708,1057051912635896170,5.0,4.960700000000002
1769,48857332,4.89,4.928599999999999
1855,50787837,4.87,4.939999999999998
552,729136491494941077,4.92,4.946700000000002
1007,791572628250090348,4.39,4.7434
797,36073380,4.95,4.9312000000000005
802,588450321411010228,4.62,4.7345
1617,1188755234254543160,4.96,4.9344
325,43576117,4.98,4.937000000000001
1369,49733110,4.71,4.773300000000002
1600,681040432325929203,4.88,4.936599999999999
985,35233413,4.97,4.9393
352,635748721684924926,4.8,4.752199999999999
102,16807494,4.88,4.7592
1771,1009035711185789700,4.86,4.940600000000002
342,608103066316430821,4.89,4.9399000000000015
1842,28471944,4.99,4.936700000000001
1457,7971903,4.67,4.7501
1410,796406495359018289,4.94,4.9365000000000006
924,25870802,4.96,4.959799999999997
864,990973537420441726,4.98,4.957400000000005
281,6820255,4.87,4.902799999999999
142,558726911606733960,5.0,4.958300000000002
1547,899948341072361992,4.92,4.939800000000003
816,592060922968656560,4.93,4.9216
221,46490468,4.75,4.762800000000001
1210,1151711650677360167,5.0,4.9869
935,891667490982596443,4.88,4.9316
1844,41619718,4.98,4.919499999999998
1206,54192684,4.95,4.9140000000000015
1166,1225671132635344385,5.0,4.989999999999999
1036,1096306523761844493,5.0,4.9816
397,972591357926946109,4.97,4.9411000000000005
